market,airlineAA,airlineDL,airlineUA,airlineAL,airlineLCC,airlineWN,marketdistance,fromcenterdistance,mindistance,changeincmarket,percapitaincmarket,marketsize,wrightamendmDAL,dallasmarket,marketpresenceAA,marketpresenceDL,marketpresenceUA,marketpresenceAL,marketpresenceLCC,marketpresenceWN,mindistancefromhubAA,mindistancefromhubDL,mindistancefromhubUA,mindistancefromhubAL,mindistancefromhubLCC,mindistancefromhubWN
GEGMCO,0,1,1,1,0,1,2.345000029,2.35030818,0.472719043,2.699999809,2.667705059,0.849685729,0,0,0.241379306,0.479442984,0.388660491,0.403381944,0.192307696,0.35709548,0.04734933,0.00958468,0.013521018,0.057994902,0,0
GEGMDW,0,0,0,0,0,1,1.511000037,1.81101048,0.155067578,1.700000048,3.067978621,1.972689033,0,0,0.035714287,0.134615391,0.240384609,0.246978015,0.192307696,0.544780254,0,0.314811826,0,0.005318339,0,0
GEGMIA,0,0,0,0,0,0,2.519000053,2.534618616,0.211625397,3.099999905,2.911372185,1.471041203,0,0,0.318584085,0.453199476,0.351004064,0.302161336,0.192307696,0.201923072,0.029645689,0.01613499,0.008612184,0.054299142,0,0.002259973
GEGMKE,0,0,0,1,0,0,1.470999956,1.875936508,0.671249986,2.699999809,3.001110554,0.79798305,0,0,0.222222224,0.307454884,0.413224101,0.565408349,0.192307696,0.201923072,0.060376924,0.397237867,0.060376924,0,0,0.078429058
GEGMSY,0,1,1,1,0,0,1.89199996,2.031338692,0.653292477,4.25,2.717240334,0.744908631,0,0,0.217391297,0.486789316,0.340384603,0.360953152,0.192307696,0.406270891,0.015623645,0.015623645,0.001440714,0.055941109,0.001440714,0.037903544
GEGOAK,0,0,0,0,1,1,0.72299999,3.167796373,0.112048075,0.75,3.696252346,1.329226017,0,0,0.273972601,0.257903069,0.562302411,0.330479443,0.247102216,0.530690193,3.047666073,3.047666073,1.473518968,0.675823808,0.028703492,0.675823808
GEGOKC,0,1,1,0,0,0,1.327999949,1.877392769,0.689562857,4.550000191,2.719462156,0.684305966,0,0,0.360000014,0.394615382,0.373717964,0.316025645,0.192307696,0.468589753,0.242130235,0.242130235,0.000146153,0.347663879,0.000146153,0.1942579
GEGOMA,0,0,1,0,0,0,1.151000023,1.827878118,0.547662914,2.849999905,2.932883263,0.572817862,0,0,0.378787875,0.233100235,0.54341495,0.44026804,0.192307696,0.414044291,0.65706867,0.788034618,0.133517563,0.262255698,0.133517563,0.238000199
GEGORD,0,0,1,1,0,0,1.498000026,1.817615271,0.155067578,1.700000048,3.067978621,1.972689033,0,0,0.346405238,0.369909525,0.550842166,0.35262695,0.192307696,0.201923072,0,0.336396366,0,0.004312227,0.004312227,0.015409217
GEGPDX,0,0,0,0,1,1,0.279000014,3.174184084,1.058538914,2.299999952,2.927393675,0.914301991,0,0,0.263736278,0.425824195,0.575549483,0.375,0.324175835,0.377747238,10.0629425,10.0629425,5.534130096,4.620057583,0,4.620057583
GEGRDU,0,0,0,1,0,0,2.132999897,2.184264183,0.498946786,3.449999809,3.015518665,0.593923628,0,0,0.206521735,0.477006704,0.316471577,0.372909695,0.192307696,0.419314384,0.002487991,0,0.002487991,0.007987851,0,0.001776172
GEGSAN,0,1,0,1,1,1,1.02699995,2.984867096,0.760169506,3.25,3.00677371,1.099583983,0,0,0.309917361,0.415607125,0.467657328,0.33971709,0.229497775,0.396137953,1.572033167,1.572033167,0.641316891,0.036236577,0.026890414,0.036236577
GEGSAT,0,1,1,1,0,0,1.610000014,2.194559336,0.658642828,2.25,2.662322044,0.859314442,0,0,0.331775695,0.471064001,0.352534145,0.280373842,0.192307696,0.407530546,0.069134258,0.069134258,0.011531626,0.156080768,0.011531626,0.156080768
GEGSEA,0,0,0,0,1,1,0.224000007,3.181424379,0.936114252,1.700000048,3.200415611,1.144055486,0,0,0.265873015,0.424297929,0.494352877,0.432692289,0.295482308,0.352716744,12.9760685,12.9760685,7.284808636,6.463688374,0,6.463688374
GEGSFO,0,0,0,0,1,0,0.73299998,3.177519083,0.112048075,0.75,3.696252346,1.329226017,0,0,0.285714298,0.403522968,0.568115711,0.39277634,0.213316098,0.201923072,3.003182173,3.003182173,1.453580976,0.662085712,0,0.662085712
GEGSJC,0,0,0,0,1,1,0.741999984,3.156669617,0.296376467,0.75,3.696252346,1.329226017,0,0,0.405405402,0.310291052,0.537681937,0.314189196,0.246361747,0.44516632,2.91960144,2.91960144,1.39829278,0.604626238,0.028102413,0.604626238
GEGSLC,0,1,0,0,0,1,0.546000004,2.608005285,1.196882606,3.75,2.762908936,0.645420372,0,0,0.252747267,0.541208804,0.498626381,0.287087917,0.192307696,0.421703279,3.50625205,3.50625205,1.241018653,1.149641633,0.660271406,1.149641633
GEGSMF,0,0,0,0,1,1,0.648999989,3.123970747,0.752037287,3.949999809,2.850492477,0.888708055,0,0,0.270270258,0.337318093,0.571465731,0.354729712,0.246361747,0.465436578,3.470220804,3.470220804,1.682267189,0.852272749,0.165917814,0.852272749
GEGSNA,0,0,0,0,1,0,0.962000012,2.999772072,0.30749619,3.300000191,2.91750598,2.304039001,0,0,0.360759497,0.280185014,0.531523824,0.333860755,0.249269724,0.258885086,1.78109014,1.78109014,0.744849801,0.072692238,0.020237787,0.072692238
GEGSTL,0,0,1,1,0,1,1.493000031,1.560596704,0.839888752,1.799999952,2.886761189,1.072533965,0,0,0.337606847,0.262820542,0.355769217,0.336538464,0.192307696,0.407051265,0.172370151,0.355988115,0.072685145,0.084774032,0.011272495,0.011272495
GEGTPA,0,0,1,0,0,0,2.315000057,2.332126617,0.102310307,2.949999809,2.777259588,1.0166713,0,0,0.204724416,0.500757098,0.350620836,0.355920672,0.192307696,0.359403372,0.03724426,0.024110759,0.009907574,0.070483454,0,0.002450792
GEGTUS,0,0,0,1,1,0,1.125,2.665934086,1.102501869,3.050000191,2.551532269,0.603578925,0,0,0.304347813,0.315774798,0.378065765,0.443840593,0.221293211,0.332357854,1.030913591,1.030913591,0.309284389,0.005183702,0.040367186,0.005183702
GRRGSO,0,0,0,1,0,0,0.555000007,1.090448976,0.411773503,2.75,2.854030132,0.699436605,0,0,0.222096533,0.459653109,0.269796371,0.549585223,0.137254909,0,0.307145178,0.076999202,0.307145178,0.045548722,0.205308631,0.280863225
GRRIAD,0,0,1,1,0,0,0.501999974,1.204396248,0.234365851,5.099999905,3.560569048,1.921177983,0,0,0.366410255,0.344358981,0.52038461,0.531153858,0.100000001,0,0.441248685,0.305369943,0.441248685,0,0.088164188,0.139788628
GRRJAX,0,0,0,1,0,0,0.880999982,1.202180505,0.411773503,2.849999905,2.909672022,0.928344309,0,0,0.333996475,0.471485436,0.251878858,0.563107848,0.109195404,0.155172408,0.136902139,0.002474453,0.136902139,0.036233269,0.000632382,0.119517714
GRRLAX,1,0,1,1,0,0,1.873999953,1.996105194,0.183144793,4.25,3.045399427,3.068999052,0,0,0.486870021,0.354244053,0.509350121,0.69184351,0.044827588,0.168965518,0.001169243,0.153452158,0,0,0,0
GRRLGA,0,0,1,1,0,0,0.617999971,1.403006554,0.11014735,3.150000095,3.470472574,3.725231886,0,0,0.447667092,0.315889031,0.412515759,0.692465305,0.065573767,0,0.403170675,0.378457278,0.403170675,0.00206285,0,0.151612416
GRRMCI,1,0,1,1,0,0,0.538999975,0.670036018,0.411773503,3.400000095,3.049261093,1.182665944,0,0,0.465869725,0.332467079,0.420564771,0.696379066,0.058558557,0.220720723,0,0.495453149,0,0.386290133,0,0
GRRMCO,1,1,1,1,0,0,1.023000002,1.323015213,0.411773503,3.650000095,2.795598507,1.131788492,0,0,0.414456248,0.402519912,0.388660491,0.69184351,0.089655176,0.155172408,0.116215117,0.002830886,0.116215117,0.028668266,0.001637747,0.101297595
GRRMEM,0,0,0,1,0,0,0.591000021,0.663747668,0.411773503,4.449999809,2.927518845,0.955448091,0,0,0.30465588,0.334008098,0.286437243,0.846153855,0.131578952,0,0.062056333,0.134507433,0.062056333,0.235455766,0.043795772,0.043795772
GRRMIA,1,0,1,1,0,0,1.215000033,1.507325649,0.211625397,4.050000191,3.039265394,1.959439278,0,0,0.491661012,0.376276404,0.351004064,0.590622902,0.088495575,0,0.098724343,0.002614214,0.098724343,0.016565192,0.001119832,0.08616516
GRRMSY,0,0,0,1,0,0,0.926999986,1.004045725,0.411773503,5.199999809,2.845133543,0.992224514,0,0,0.39046824,0.409866244,0.340384603,0.649414718,0.082608692,0.204347819,0.050977327,0.045647055,0.050977327,0.129445881,0.038454387,0.038454387
GRRORD,1,0,1,0,0,0,0.136999995,0.790322244,0.155067578,2.650000095,3.195872068,2.62763834,0,0,0.519482136,0.292986423,0.550842166,0.641088486,0.01633987,0,0,2.887239456,0,1.585541606,0.110092163,0.110092163
GRRORF,0,0,0,1,0,0,0.643999994,1.282645345,0.228941053,4.75,2.826753139,1.091174245,0,0,0.373076916,0.377692312,0.2803846,0.524487197,0,0,0.322239548,0.16825743,0.322239548,0.005925623,0.033112235,0.06582623
GRRPBI,0,1,0,1,0,0,1.157999992,1.464591146,0.411773503,3.800000191,3.631829262,0.932489216,0,0,0.246247649,0.490619153,0.252579719,0.513836801,0.054878049,0.140243903,0.106472932,0.003482693,0.106472932,0.014380684,0.002839663,0.093253493
GRRPDX,0,0,1,1,0,0,1.832999945,2.146891117,0.411773503,3.25,3.055286884,1.217857838,0,0,0.436813205,0.348901123,0.575549483,0.663461566,0.131868139,0.17582418,0.019968253,0.22038573,0.019968253,0,0,0.026618654
GRRPVD,0,0,0,1,0,0,0.726000011,1.537374854,0.411773503,4.800000191,2.962402344,1.094871402,0,0,0.377302289,0.325297952,0.37418741,0.604956686,0.035211269,0.253521115,0.353743464,0.361039013,0.353743464,0.008501542,0.045493722,0.176258355
GRRRDU,0,0,0,1,0,0,0.602999985,1.156971097,0.411773503,4.400000095,3.143411875,0.791111231,0,0,0.379598677,0.400083631,0.316471577,0.661371231,0.141304344,0.217391297,0.296964675,0.091512345,0.296964675,0.030373948,0,0.273280621
GRRRSW,0,1,0,1,0,0,1.146999955,1.414014935,0.264955878,7.400000095,2.99581337,0.586955726,0,0,0.359823912,0.413114011,0.252432793,0.555491209,0.108433738,0,0.096829958,0.001270298,0.096829958,0.032780826,0.00108384,0.083658502
GRRSAN,1,0,1,1,0,0,1.855000019,1.957574129,0.411773503,4.199999809,3.134667158,1.464655161,0,0,0.482994288,0.338684052,0.467657328,0.628178656,0.053719006,0.19421488,0,0.130794093,0,0.00990395,0,0.00271845
GRRSAT,1,0,0,1,0,0,1.167999983,1.16726625,0.411773503,3.200000048,2.790215492,1.144613981,0,0,0.504852653,0.394140929,0.352534145,0.550593138,0.009345794,0.205607474,0.008091548,0.008091548,0.008483782,0.055268168,0.003826194,0.003826194
GRRSDF,0,0,0,1,0,0,0.324999988,0.755705655,0.411773503,3.800000191,2.955171585,0.937935948,0,0,0.355509341,0.415800422,0.314708948,0.613045752,0.040540539,0.229729727,0.300230235,0.081827112,0.300230235,0.310525656,0.253220886,0.253220886
GRRSEA,1,0,1,1,0,0,1.807000041,2.154131174,0.411773503,2.650000095,3.328309059,1.523891449,0,0,0.438949943,0.347374856,0.494352877,0.721153855,0.103174604,0.150793657,0.024363937,0.23211275,0.024363937,0,0,0.031501167
GRRSFO,1,0,1,1,0,0,1.965999961,2.150226116,0.112048075,1.700000048,3.824145794,1.770540118,0,0,0.458791226,0.326599896,0.568115711,0.681237876,0.054621849,0,0.005389162,0.168891177,0.004833388,0.012808317,0,0.009764631
GRRSLC,0,0,0,1,0,0,1.366999984,1.580712557,0.411773503,4.699999809,2.890802383,0.859705329,0,0,0.425824195,0.464285731,0.498626381,0.575549483,0.054945055,0.219780222,0.010613599,0.253142029,0.010613599,0.020420747,0,0.01726844
GRRSMF,0,0,0,1,0,0,1.899000049,2.09667778,0.411773503,4.900000095,2.978385925,1.183766484,0,0,0.443347186,0.26039502,0.571465731,0.640072763,0.054054055,0.263513505,0.006831374,0.179188937,0.006831374,0.010987421,0,0.011579131
GRRSNA,0,0,1,1,0,0,1.855999947,1.972478867,0.30749619,4.25,3.045399427,3.068999052,0,0,0.533836424,0.203261927,0.531523824,0.572419703,0.056962024,0.056962024,0.000769056,0.14846617,0,0.004248652,0,0.003890597
GRRSRQ,0,1,0,1,0,0,1.08099997,1.337612987,0.363405675,5.150000095,3.287654638,0.674191475,0,0,0.173076928,0.526442289,0.240384609,0.491987199,0.020833334,0,0.098625921,0.001043187,0.098625921,0.046961501,0.001595157,0.084735088
GRRSTL,1,0,0,1,0,0,0.381000012,0.533303738,0.411773503,2.75,3.014654398,1.428624153,0,0,0.510683775,0.18589744,0.355769217,0.625,0.004273504,0.205128208,0.034413416,0.508790016,0.034413416,0.467609882,0.016386097,0.016386097
GRRTPA,1,1,1,1,0,0,1.041000009,1.30483377,0.102310307,3.900000095,2.905153036,1.354214787,0,0,0.377801359,0.423834056,0.350620836,0.644382238,0.090551183,0.157480314,0.104146965,0.001659265,0.104146965,0.049161736,0.001653519,0.089685678
GRRTUS,1,0,0,1,0,0,1.572999954,1.638641,0.411773503,4,2.679425478,0.803972185,0,0,0.477424741,0.238851726,0.378065765,0.500139356,0.028985508,0.130434781,0,0.106753089,0,0.068192914,0,0
GSOHOU,0,1,0,0,1,0,0.995000005,1.2471627,0.236466587,4.150000095,3.190458536,1.777322292,0,0,0.20334059,0.59331882,0.029411765,0.343137264,0.285403073,0.296296299,0.249848604,0.004629593,0.542053401,0.00599629,0,0
GSOIND,0,1,0,1,0,0,0.426999986,0.92803669,0.441090435,2.599999905,3.040172338,1.006912351,0,0,0.288150042,0.603047729,0.219629154,0.555093765,0.137254909,0.179347828,0.793794394,0.000998289,0.793794394,0.192918271,0.298142314,0.723044634
GSOJAX,0,1,0,1,1,0,0.398999989,1.378349066,0.47392413,1.899999976,2.887623549,0.865335047,0,0,0.209939152,0.815753937,0.04090602,0.555780947,0.246450305,0.155172408,2.64454031,0.442749023,2.64454031,0.032149464,0.002483855,1.360159397
GSOLAX,1,1,0,1,0,0,2.171999931,2.172273636,0.183144793,3.300000191,3.023350716,2.860697746,0,0,0.362812698,0.698512554,0.298377275,0.494861424,0.137254909,0.168965518,0.025483359,0.023756726,0.024901221,0.007764953,0,0.007764953
GSOLGA,1,0,0,1,1,0,0.460999995,1.579175115,0.11014735,2.199999809,3.448424101,3.472390413,0,0,0.323609769,0.660157502,0.201542914,0.564448714,0.202828676,0,1.862734199,0.980150342,1.862734199,0,0,0.003788483
